"(UTF8)各類所得憑單資料電子申報系統 版本 109.01","109.01","關貿網路股份有限公司"
"107年度綜合所得稅電子結算申報繳稅系統 版本 107.14","107.14","關貿網路股份有限公司"
"2007 Office system 相容性套件","12.0.6612.1000","Microsoft Corporation"
"7-Zip 19.00","19.00","Igor Pavlov"
"7-Zip 19.00","19.00.00.0","Igor Pavlov"
"7-Zip 19.00 (x64 edition)","19.00.00.0","Igor Pavlov"
"7-Zip 19.00 (x64)",19,"Igor Pavlov"
"7-Zip 20.00 alpha (x64)","20.00 alpha","Igor Pavlov"
"8GadgetPack","25.0.0","8GadgetPack.net"
"ACS Unified PC/SC Driver 4.0.0.4","4.0.4","Advanced Card Systems Ltd."
"ActivePerl 5.26.3 Build 2603 (64-bit)","5.26.2603","ActiveState"
"Adobe Acrobat  9 Standard - ChineseT","9.0.0","Adobe Systems"
"Adobe Flash Player 32 NPAPI","32.0.0.371","Adobe"
"Adobe Flash Player 32 NPAPI","32.0.0.433","Adobe"
"Android Studio",1,"Google Inc."
"Apache Tomcat 7.0 Tomcat7 (remove only)","7.0.73","Apache"
